keyword,page_no,position_on_page,asin,title,link,price,rating
air fryer,1,1,B0DNQYFJMQ,Milton Rapid Digital Air Fryer 4.2L | 1450W | 360° High Speed Air Circulation | Up to 90% Less Oil Usage | 8 Preset Menus | Touch Control Panel & Digital Display | Auto Shut-Off | 1 Year Warranty,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDc3NDMxMzc4MDY4MTI3OjE3NzQ1MjgxNjg6c3BfYXRmOjMwMDY0MzczOTczNjUzMjo6MDo6&url=%2F4-2L-Circulation-Digital-Temperature-Black%2Fdp%2FB0DNQYFJMQ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D53MY1W73NNSI%26dib%3DeyJ2IjoiMSJ9.NYPdbqVYJxj9qVXbTzdFkVETCjr0bKOLluI9l2jLYnmiMd050KO1MjpDhYpjCoJNlIri27w7fHWtJ2LBFS-z5-g65hdvZJQEMQe3QZioK1S7BMxg7Gjv83goJ7hJDDo6dCbjWz6k_NNb1MTQx90qQN_M2p3cAVVIgHeWA4Ydy_jSs67kNTIJvQLENSSAI72Bqd2ywPeDaCJrSe2eDo-I9ih_2ElSY1x6KSCBVkxtSLQ.dBbd1FiYUN2A_HGXNyDs4Ee2o8EAWDa1W7QJOguffBU%26dib_tag%3Dse%26keywords%3Dair%2Bfryer%26qid%3D1774528167%26sprefix%3Dair%2Bfryer%252Caps%252C365%26sr%3D8-1-spons%26aref%3DJVIASLgAGk%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=JVIASLgAGk&sp_cr=ZAZ,"₹3,699",4.1 out of 5 stars
air fryer,1,2,B0DN162F92,"Nutricook 5L Air Fryer Slim (2025) with 100% Toxin-Free Ceramic Coating—No PTFE, PFAS, PFOA or Microplastics, Clear Window, Light & Large Basket | 1500W, 4 Presets, 2-Year Warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDc3NDMxMzc4MDY4MTI3OjE3NzQ1MjgxNjg6c3BfYXRmOjMwMDQxNzUwODA3ODgzMjo6MDo6&url=%2FNutricook-Warranty-Toxin-Free-Coating-No-Microplastics%2Fdp%2FB0DN162F92%2Fref%3Dsr_1_2_sspa%3Fcrid%3D53MY1W73NNSI%26dib%3DeyJ2IjoiMSJ9.NYPdbqVYJxj9qVXbTzdFkVETCjr0bKOLluI9l2jLYnmiMd050KO1MjpDhYpjCoJNlIri27w7fHWtJ2LBFS-z5-g65hdvZJQEMQe3QZioK1S7BMxg7Gjv83goJ7hJDDo6dCbjWz6k_NNb1MTQx90qQN_M2p3cAVVIgHeWA4Ydy_jSs67kNTIJvQLENSSAI72Bqd2ywPeDaCJrSe2eDo-I9ih_2ElSY1x6KSCBVkxtSLQ.dBbd1FiYUN2A_HGXNyDs4Ee2o8EAWDa1W7QJOguffBU%26dib_tag%3Dse%26keywords%3Dair%2Bfryer%26qid%3D1774528167%26sprefix%3Dair%2Bfryer%252Caps%252C365%26sr%3D8-2-spons%26aref%3DlKAlC7P0d0%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=lKAlC7P0d0&sp_cr=ZAZ,"₹5,499",4.6 out of 5 stars
air fryer,1,16,B0936FGLQS,"COSORI Air Fryer 5 QT (4.7 Litre) Black, 1500W Fast Cooking 9 Preset Menu, 30 Recipes Cookbook, Grill, Broil, Roast, Toast, Bake, Reheat, Defrost, Digital Touch Panel (CAF-L501)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDc3NDMxMzc4MDY4MTI3OjE3NzQ1MjgxNjg6c3BfbXRmOjMwMDIyMjUxNTQyMTIzMjo6MDo6&url=%2FCOSORI-Compact-Setting-Recipes-Cookbook%2Fdp%2FB0936FGLQS%2Fref%3Dsr_1_11_sspa%3Fcrid%3D53MY1W73NNSI%26dib%3DeyJ2IjoiMSJ9.NYPdbqVYJxj9qVXbTzdFkVETCjr0bKOLluI9l2jLYnmiMd050KO1MjpDhYpjCoJNlIri27w7fHWtJ2LBFS-z5-g65hdvZJQEMQe3QZioK1S7BMxg7Gjv83goJ7hJDDo6dCbjWz6k_NNb1MTQx90qQN_M2p3cAVVIgHeWA4Ydy_jSs67kNTIJvQLENSSAI72Bqd2ywPeDaCJrSe2eDo-I9ih_2ElSY1x6KSCBVkxtSLQ.dBbd1FiYUN2A_HGXNyDs4Ee2o8EAWDa1W7QJOguffBU%26dib_tag%3Dse%26keywords%3Dair%2Bfryer%26qid%3D1774528167%26sprefix%3Dair%2Bfryer%252Caps%252C365%26sr%3D8-11-spons%26aref%3DN4NpjkMwB1%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=N4NpjkMwB1&sp_cr=ZAZ,"₹9,899",4.6 out of 5 stars
air fryer,1,17,B0GC4FR7H4,"KILIG Nexa SteamX 10.5L, 100% Toxin-Free Steam-Airfryer with StepChef™ Automation | MyKilig App Control | 12 Presets | 4 Modes | Self-Clean | 1550W + 900W | Glossy Black",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDc3NDMxMzc4MDY4MTI3OjE3NzQ1MjgxNjg6c3BfbXRmOjMwMDkxMTA3NzY5MzYzMjo6MDo6&url=%2FKILIG-Toxin-Free-Steam-Airfryer-StepChefTM-Automation%2Fdp%2FB0GC4FR7H4%2Fref%3Dsr_1_12_sspa%3Fcrid%3D53MY1W73NNSI%26dib%3DeyJ2IjoiMSJ9.NYPdbqVYJxj9qVXbTzdFkVETCjr0bKOLluI9l2jLYnmiMd050KO1MjpDhYpjCoJNlIri27w7fHWtJ2LBFS-z5-g65hdvZJQEMQe3QZioK1S7BMxg7Gjv83goJ7hJDDo6dCbjWz6k_NNb1MTQx90qQN_M2p3cAVVIgHeWA4Ydy_jSs67kNTIJvQLENSSAI72Bqd2ywPeDaCJrSe2eDo-I9ih_2ElSY1x6KSCBVkxtSLQ.dBbd1FiYUN2A_HGXNyDs4Ee2o8EAWDa1W7QJOguffBU%26dib_tag%3Dse%26keywords%3Dair%2Bfryer%26qid%3D1774528167%26sprefix%3Dair%2Bfryer%252Caps%252C365%26sr%3D8-12-spons%26aref%3Dfv1FHrnHYo%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=fv1FHrnHYo&sp_cr=ZAZ,"₹16,990",4.7 out of 5 stars
air fryer,1,26,B0FXLKZ9ZH,"NUUK BRĪSK 6.5L 100% Toxin-Free Ceramic Air Fryer | ILAG® CeramicTech™ | No Micro plastics, No PTFE, PFAS, PFOA | 8 Cooking Presets | Digital Display | Shake Reminder | 360° Even Cooking",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDc3NDMxMzc4MDY4MTI3OjE3NzQ1MjgxNjg6c3BfYnRmOjMwMDg0Mjk2MjY3NjMzMjo6MDo6&url=%2FNUUK-Toxin-Free-CeramicTechTM-plastics-Reminder%2Fdp%2FB0FXLKZ9ZH%2Fref%3Dsr_1_21_sspa%3Fcrid%3D53MY1W73NNSI%26dib%3DeyJ2IjoiMSJ9.NYPdbqVYJxj9qVXbTzdFkVETCjr0bKOLluI9l2jLYnmiMd050KO1MjpDhYpjCoJNlIri27w7fHWtJ2LBFS-z5-g65hdvZJQEMQe3QZioK1S7BMxg7Gjv83goJ7hJDDo6dCbjWz6k_NNb1MTQx90qQN_M2p3cAVVIgHeWA4Ydy_jSs67kNTIJvQLENSSAI72Bqd2ywPeDaCJrSe2eDo-I9ih_2ElSY1x6KSCBVkxtSLQ.dBbd1FiYUN2A_HGXNyDs4Ee2o8EAWDa1W7QJOguffBU%26dib_tag%3Dse%26keywords%3Dair%2Bfryer%26qid%3D1774528167%26sprefix%3Dair%2Bfryer%252Caps%252C365%26sr%3D8-21-spons%26aref%3DLjbjWLNHld%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=LjbjWLNHld&sp_cr=ZAZ,"₹8,999",4.5 out of 5 stars
air fryer,1,27,B07VHFMZHJ,"Instant Vortex Plus 6L Air Fryer, 6-in-1 with 360° EvenCrisp Technology, Touch Control Panel, Uses 95% Less Oil, Air Fry, Roast, Grill, Bake, Reheat & Dehydrate, 1500W, PFOA-Free & BPA-Free, 230V",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDc3NDMxMzc4MDY4MTI3OjE3NzQ1MjgxNjg6c3BfYnRmOjIwMDc4NjA5MzUwMjk4OjowOjo&url=%2FInstant-Vortex-Plus-Air-Fryer%2Fdp%2FB07VHFMZHJ%2Fref%3Dsr_1_22_sspa%3Fcrid%3D53MY1W73NNSI%26dib%3DeyJ2IjoiMSJ9.NYPdbqVYJxj9qVXbTzdFkVETCjr0bKOLluI9l2jLYnmiMd050KO1MjpDhYpjCoJNlIri27w7fHWtJ2LBFS-z5-g65hdvZJQEMQe3QZioK1S7BMxg7Gjv83goJ7hJDDo6dCbjWz6k_NNb1MTQx90qQN_M2p3cAVVIgHeWA4Ydy_jSs67kNTIJvQLENSSAI72Bqd2ywPeDaCJrSe2eDo-I9ih_2ElSY1x6KSCBVkxtSLQ.dBbd1FiYUN2A_HGXNyDs4Ee2o8EAWDa1W7QJOguffBU%26dib_tag%3Dse%26keywords%3Dair%2Bfryer%26qid%3D1774528167%26sprefix%3Dair%2Bfryer%252Caps%252C365%26sr%3D8-22-spons%26aref%3DlmO38TE1Ay%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=lmO38TE1Ay&sp_cr=ZAZ,"₹11,799",4.8 out of 5 stars
air fryer,2,1,B0DN162F92,"Nutricook 5L Air Fryer Slim (2025) with 100% Toxin-Free Ceramic Coating—No PTFE, PFAS, PFOA or Microplastics, Clear Window, Light & Large Basket | 1500W, 4 Presets, 2-Year Warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzExNjIwMjg3NjcxNTM4OjE3NzQ1MjgxODA6c3BfYXRmX25leHQ6MzAwNDE3NTA4MDc4ODMyOjowOjo&url=%2FNutricook-Warranty-Toxin-Free-Coating-No-Microplastics%2Fdp%2FB0DN162F92%2Fref%3Dsr_1_17_sspa%3Fcrid%3D53MY1W73NNSI%26dib%3DeyJ2IjoiMSJ9.JyfsapZIo1fpOkGfmrg-y7tPOQxcFCxlOgMRQL7lTtbGjHj071QN20LucGBJIEps.vLjtKfRWalHZKIGEK8-Yu8K8APkV5P-cgqyU6IhM11A%26dib_tag%3Dse%26keywords%3Dair%2Bfryer%26qid%3D1774528180%26sprefix%3Dair%2Bfryer%252Caps%252C365%26sr%3D8-17-spons%26xpid%3Dag3CyEUA9aHiW%26aref%3DlKAlC7P0d0%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=lKAlC7P0d0&sp_cr=ZAZ,"₹5,499",4.6 out of 5 stars
air fryer,2,2,B0F9FKRVTJ,"SOLARA Air Fryer For Home 4.5L with See Through Window, 10 Preset menus, 360° High Speed Air Circulation for Fry, Grill, Roast & Bake,Uses upto 90% less fat, 1500 Watts, Digital Touch Control, Black",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzExNjIwMjg3NjcxNTM4OjE3NzQ1MjgxODA6c3BfYXRmX25leHQ6MzAwNjIzNjk2NTQ0NjMyOjowOjo&url=%2FSOLARA-See-Through-Circulation-Digital%2Fdp%2FB0F9FKRVTJ%2Fref%3Dsr_1_18_sspa%3Fcrid%3D53MY1W73NNSI%26dib%3DeyJ2IjoiMSJ9.JyfsapZIo1fpOkGfmrg-y7tPOQxcFCxlOgMRQL7lTtbGjHj071QN20LucGBJIEps.vLjtKfRWalHZKIGEK8-Yu8K8APkV5P-cgqyU6IhM11A%26dib_tag%3Dse%26keywords%3Dair%2Bfryer%26qid%3D1774528180%26sprefix%3Dair%2Bfryer%252Caps%252C365%26sr%3D8-18-spons%26xpid%3Dag3CyEUA9aHiW%26aref%3DGZORS3jmLV%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=GZORS3jmLV&sp_cr=ZAZ,"₹3,499",4.3 out of 5 stars
air fryer,2,11,B0GC4FR7H4,"KILIG Nexa SteamX 10.5L, 100% Toxin-Free Steam-Airfryer with StepChef™ Automation | MyKilig App Control | 12 Presets | 4 Modes | Self-Clean | 1550W + 900W | Glossy Black",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzExNjIwMjg3NjcxNTM4OjE3NzQ1MjgxODA6c3BfbXRmOjMwMDkxMTA3NzY5MzYzMjo6MDo6&url=%2FKILIG-Toxin-Free-Steam-Airfryer-StepChefTM-Automation%2Fdp%2FB0GC4FR7H4%2Fref%3Dsr_1_22_sspa%3Fcrid%3D53MY1W73NNSI%26dib%3DeyJ2IjoiMSJ9.QW7iYnIMY2_6UGiuYm8Tq8P0ZaMHS40y6g-kQZL5giK-GzpRlgD5VOnhW45tvOY6aFdgKdNz9eze_FQoycOPaBpAarpXSdXHUvxbu3TiEvHfSIyJGwoZv7CjnMf1Jr2g0dmPikqxSgVdqHPhI-lSpSPD5cBqL4sbgXJUi0-XphODYupUvJmJATnqqwb1yPEn.ZXMSBQdGGA1iHLb4gMuyFLs9RxlnSDf9-SAEoQjg0a0%26dib_tag%3Dse%26keywords%3Dair%2Bfryer%26qid%3D1774528180%26sprefix%3Dair%2Bfryer%252Caps%252C365%26sr%3D8-22-spons%26xpid%3Dag3CyEUA9aHiW%26aref%3Dfv1FHrnHYo%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=fv1FHrnHYo&sp_cr=ZAZ,"₹16,990",4.7 out of 5 stars
